price,built_at,year,dong,apart,month,date,area,floor,gu,latitude,longitude
"109,500",2008,2020,합동,에스케이뷰,10,31,84.909,14,서대문구,37.5620074,126.9659153
"90,000",2002,2020,냉천동,동부센트레빌,10,5,84.93,12,서대문구,37.56609,126.9624432
"115,000",1995,2020,영천동,독립문삼호,10,11,108.63,14,서대문구,37.5702007,126.9586658
"98,000",1995,2020,영천동,독립문삼호,10,18,84.78,13,서대문구,37.5702007,126.9586658
"105,000",1998,2020,현저동,독립문극동(200-0),10,9,102.45,2,서대문구,37.5718671,126.9566937
"61,000",2000,2020,현저동,독립문파크빌,10,9,59.4,6,서대문구,37.5749222,126.9516385
"62,000",2000,2020,현저동,독립문파크빌,10,10,59.4,8,서대문구,37.5749222,126.9516385
"96,700",2003,2020,충정로3가,동호,11,12,79.52,4,서대문구,37.5618617,126.9616111
"54,000",2004,2020,충정로3가,충정리시온,11,13,45.75,17,서대문구,37.5602081,126.9647483
"35,100",2004,2020,충정로3가,충정리시온,11,14,33.32,8,서대문구,37.5602081,126.9647483
"45,800",2004,2020,충정로3가,충정리시온,11,23,41.48,8,서대문구,37.5602081,126.9647483
"69,000",2010,2020,충정로3가,충림예하임,11,26,84.6,1,서대문구,37.5618617,126.9616111
"71,000",2002,2020,냉천동,동부센트레빌,11,12,59.86,4,서대문구,37.56609,126.9624432
"99,000",2011,2020,냉천동,돈의문센트레빌,11,13,59.98,9,서대문구,37.56609,126.9624432
"105,800",2011,2020,냉천동,돈의문센트레빌,11,14,59.98,6,서대문구,37.56609,126.9624432
"123,000",2011,2020,냉천동,돈의문센트레빌,11,20,84.99,3,서대문구,37.56609,126.9624432
"52,000",2006,2020,천연동,천연뜨란채,11,12,30.17,12,서대문구,37.5679888,126.958443
"106,000",2008,2020,합동,에스케이뷰,12,10,84.98,9,서대문구,37.5620074,126.9659153
"75,000",2002,2020,냉천동,동부센트레빌,12,3,59.86,11,서대문구,37.56609,126.9624432
"120,000",2011,2020,냉천동,돈의문센트레빌,12,9,84.99,3,서대문구,37.56609,126.9624432
"74,000",2002,2020,냉천동,동부센트레빌,12,12,59.86,12,서대문구,37.56609,126.9624432
"143,500",2011,2020,냉천동,돈의문센트레빌,12,18,114.98,7,서대문구,37.56609,126.9624432
"100,000",2011,2020,냉천동,돈의문센트레빌,12,19,59.98,4,서대문구,37.56609,126.9624432
"103,000",2011,2020,냉천동,돈의문센트레빌,12,19,59.98,7,서대문구,37.56609,126.9624432
"77,000",2002,2020,냉천동,동부센트레빌,12,26,59.86,10,서대문구,37.56609,126.9624432
"94,500",2006,2020,천연동,천연뜨란채,12,5,75.8,11,서대문구,37.5679888,126.958443
"69,500",2006,2020,천연동,천연뜨란채,12,12,59.47,1,서대문구,37.5679888,126.958443
"75,000",2004,2021,충정로2가,로얄훼미리A,1,18,81.43,4,서대문구,37.5646792,126.9640448
"54,800",2004,2021,충정로3가,충정리시온,1,16,45.89,10,서대문구,37.5602081,126.9647483
"54,500",2004,2021,충정로3가,충정리시온,1,16,44.88,20,서대문구,37.5602081,126.9647483
"116,500",2008,2021,합동,에스케이뷰,1,22,84.98,13,서대문구,37.5620074,126.9659153
"133,000",2011,2021,냉천동,돈의문센트레빌,1,2,84.99,11,서대문구,37.56609,126.9624432
"149,000",2011,2021,냉천동,돈의문센트레빌,1,5,114.98,8,서대문구,37.56609,126.9624432
"127,500",2011,2021,냉천동,돈의문센트레빌,1,5,84.99,6,서대문구,37.56609,126.9624432
"142,000",2011,2021,냉천동,돈의문센트레빌,1,7,84.99,13,서대문구,37.56609,126.9624432
"107,000",2011,2021,냉천동,돈의문센트레빌,1,7,59.98,3,서대문구,37.56609,126.9624432
"119,700",2002,2021,냉천동,동부센트레빌,1,16,114.92,9,서대문구,37.56609,126.9624432
"38,400",2004,2021,충정로3가,충정리시온,2,8,33.32,21,서대문구,37.5602081,126.9647483
"116,000",2008,2021,합동,에스케이뷰,2,20,84.98,8,서대문구,37.5620074,126.9659153
"150,000",2011,2021,냉천동,돈의문센트레빌,2,10,114.98,2,서대문구,37.56609,126.9624432
"150,000",2011,2021,냉천동,돈의문센트레빌,2,18,114.98,9,서대문구,37.56609,126.9624432
"130,000",2011,2021,냉천동,돈의문센트레빌,2,20,84.99,1,서대문구,37.56609,126.9624432
"94,500",2006,2021,천연동,천연뜨란채,2,5,75.55,7,서대문구,37.5679888,126.958443
"53,000",2006,2021,천연동,천연뜨란채,2,6,30.17,3,서대문구,37.5679888,126.958443
"82,000",2006,2021,천연동,천연뜨란채,2,20,57.78,10,서대문구,37.5679888,126.958443
"53,000",2006,2021,천연동,천연뜨란채,2,27,30.17,6,서대문구,37.5679888,126.958443
"95,000",1995,2021,영천동,독립문삼호,2,20,84.78,1,서대문구,37.5702007,126.9586658
"53,200",2004,2021,충정로3가,충정리시온,3,25,45.75,13,서대문구,37.5602081,126.9647483
"42,000",1969,2021,충정로3가,미동,3,28,77.63,4,서대문구,37.5631739,126.9639988
"114,000",2008,2021,합동,에스케이뷰,3,20,84.98,6,서대문구,37.5620074,126.9659153
"83,000",2006,2021,천연동,천연뜨란채,3,4,57.78,7,서대문구,37.5679888,126.958443
"92,000",2006,2021,천연동,천연뜨란채,3,19,75.42,1,서대문구,37.5679888,126.958443
"106,000",1995,2021,영천동,독립문삼호,3,30,84.78,5,서대문구,37.5702007,126.9586658
"95,000",1998,2021,현저동,독립문극동(200-0),3,10,59.58,15,서대문구,37.5718671,126.9566937
"144,300",1998,2021,현저동,독립문극동(200-0),3,20,114.51,21,서대문구,37.5718671,126.9566937
"82,000",1999,2021,북아현동,두산,3,6,59.96,3,서대문구,37.5590697,126.9500116
"88,000",1999,2021,북아현동,두산,3,6,59.96,12,서대문구,37.5590697,126.9500116
"84,000",1992,2021,충정로2가,현대,4,28,99.97,1,서대문구,37.563646,126.9631933
"54,000",2004,2021,충정로3가,충정리시온,4,2,44.88,18,서대문구,37.5602081,126.9647483
"49,300",2004,2021,충정로3가,충정리시온,4,13,41.48,7,서대문구,37.5602081,126.9647483
"37,900",2004,2021,충정로3가,충정리시온,4,21,33.32,9,서대문구,37.5602081,126.9647483
"30,000",1969,2021,충정로3가,미동,4,26,51.603,6,서대문구,37.5631739,126.9639988
"89,500",2008,2021,충정로3가,우리유앤미,4,27,84.73,3,서대문구,37.5619629,126.9619328
"95,000",2008,2021,충정로3가,우리유앤미,4,27,84.73,15,서대문구,37.5619629,126.9619328
"151,000",2011,2021,냉천동,돈의문센트레빌,4,17,84.99,13,서대문구,37.56609,126.9624432
"79,000",2006,2021,천연동,천연뜨란채,4,20,56.02,5,서대문구,37.5679888,126.958443
"85,500",2006,2021,천연동,천연뜨란채,4,21,57.78,5,서대문구,37.5679888,126.958443
"122,000",2005,2021,충정로3가,충정솔레디움(102동),5,1,83.09,2,서대문구,37.5618406,126.9610824
"92,800",2008,2021,충정로3가,우리유앤미,5,18,84.73,4,서대문구,37.5619629,126.9619328
"68,000",1987,2021,충정로3가,피어리스,5,26,84.24,13,서대문구,37.5628128,126.9648876
"45,500",2004,2021,충정로3가,충정리시온,5,26,41.48,13,서대문구,37.5602081,126.9647483
